path,year,wordcount,importance,pride,n_tags,tags
2022-03-1-coi.md,2022,22,,,2,bias;econ
2022-03-1-perceptrons-and-the-end-of-the-world.md,2022,77,8,,2,bias;econ
2022-03-1-wild-math.md,2022,44,,,0,
2022-03-4-phil-harvey.md,2022,767,6,,1,obit
2022-04-1-forecasters-vs-experts.md,2022,44,7,6,4,arb;forecasting;epistemology;social-science
2022-04-30-status-is-a-wall.md,2022,84,,,0,
2022-06-24-nostalgia.md,2022,639,4,,6,personal;meaning;fun;self-help;writing;becoming
2022-07-01-big3.markdown,2022,272,7,,3,arb;forecasting;scifi
2022-07-06-stevie-wonder.markdown,2022,61,5,,3,music;culture;rationality
2022-07-06-the-sweep-of-history.markdown,2022,1774,8,,3,longtermism;meaning;lists
2022-07-17-aaronson.markdown,2022,5701,7,,4,science;philosophy;lists;bloggers
2022-09-07-country-music.md,2022,947,3,,3,art;status;subculture
2022-09-07-edwin.md,2022,323,1,,5,art;becoming;meaning;poem;literature
2022-09-26-nofx.markdown,2022,387,3,,2,subculture;music
2022-10-1-scotland-demotic.markdown,2022,138,,,0,
2022-10-17-brightness-of-self-invention.markdown,2023,384,6,,4,science;becoming;rationality;self-representation
2022-10-17-forced-association.markdown,2022,874,6,,0,
2022-11-20-wordcels.markdown,2022,132,,,0,
2022-11-26-being-interested.markdown,2022,253,6,,4,becoming;meaning;fun;self-help
2022-11-29-abstraction-ladder.markdown,2022,729,5,4,3,maths;becoming;philosophy
2022-11-29-music-becoming.markdown,2022,78,,,0,
2022-12-16-cdmx.markdown,2022,7,,,0,
2022-2-1-posts-of-decade-10s.md,2022,17,,,0,
2022-7-19-books-of-becoming.markdown,2022,556,6,,0,
2022-7-19-books-q2.markdown,2022,101,3,,2,books;me-me-me
2022-8-11-ideological-history.markdown,,29,4,,2,becoming;politics
2023-01-29-disco-elysium.markdown,2023,8083,5,,5,art;politics;mind;becoming;vidya
2023-02-29-trout.markdown,2023,32,,,0,
2023-03-11-ifp-forecasting.markdown,2023,70,7,,2,arb;forecasting
2023-05-09-florence.markdown,2023,925,4,,2,places;art
2023-05-29-taylor-swift.markdown,2023,6023,3,,2,music;egregores
2023-06-09-marx.markdown,2023,0,,,2,philosophy;history
2023-06-09-philosophersonesentence.markdown,2023,164,,,1,philosophy
2023-07-05-llm-eval.markdown,2023,391,,,0,
2023-07-31-spotify.markdown,2023,1089,3,,2,music;lists
2023-08-01-actadd-llms.markdown,2023,164,7,,3,arb;alignment;ai
2023-08-17-clearerthinking.markdown,2023,749,3,,2,psychology;interview
2023-08-25-learn-stats.markdown,2023,481,8,,2,stats;lists
2023-09-25-darkmatter.markdown,2023,2443,2,,5,maths;metaphysics;holes;encompassing;my-classes
2023-09-25-pg.markdown,2023,292,6,,2,work;self-help
2023-09-25-pop-auteurs.markdown,2023,375,2,,2,music;lists
2023-12-10-doctors.markdown,2023,1143,7,,3,health;science;history
2023-12-31-self-exp.markdown,2023,62,6,,0,
2023-12-31-stte.markdown,2023,289,3,,0,
2024-01-10-maniac.markdown,2024,2396,9,,6,ai;xrisk;computers;science;maths;greats
2024-01-25-ghibli-heron.markdown,2024,896,3,,3,art;becoming;meaning
2024-01-25-repertoire.markdown,2024,58,,,0,
2024-02-09-hard-problems-hplr.markdown,2024,280,9,7,2,arb;ai
2024-02-10-feyness.markdown,2024,34,,,0,
2024-02-25-replicators.markdown,2024,707,,,0,
2024-02-25-siderea.markdown,2024,6187,,,8,social-science;mental-health;game-theory;humanism;psychology;politics;bloggers;lists
2024-03-16-google-fu.markdown,2024,2731,,,2,my-classes;epistemology
2024-03-16-whats-stopping-you.markdown,2024,3000,,,5,education;meaning;becoming;warnings;my-classes
2024-03-29-fads.markdown,2024,98,,,0,
2024-05-14-ikigai.md,2024,79,,,0,
2024-06-29-against-phds.markdown,2024,2689,6,,1,phd
2024-06-29-csml-as-a-field.markdown,2024,990,6,,0,
2024-06-29-gradnovels.markdown,2024,170,,,0,
2024-06-29-kolmogorov.markdown,2024,5940,8,,3,maths;greats;politics
